"Scaffold_ID_Smans" "Window_start_Smans" "Window_stop_Smans" "ERR562990_Depth_Smans" "ERR562989_Depth_Smans" "log2_FMcoverage_Smans" "flag_Smans"
"SM_V7_ZW" 2070001 2080000 25.1518 25.9487 -0.0450006121809296 "PAR"
"SM_V7_ZW" 2080001 2090000 24.1256 23.2198 0.0552092765968806 "PAR"
"SM_V7_ZW" 2090001 2100000 25.266 23.1234 0.127843738065331 "PAR"
"SM_V7_ZW" 2100001 2110000 23.1105 23.1797 -0.0043134214671303 "PAR"
"SM_V7_ZW" 2110001 2120000 25.0246 27.152 -0.117711461176837 "PAR"
"SM_V7_ZW" 2120001 2130000 26.7243 26.0034 0.0394518883274132 "PAR"
"SM_V7_ZW" 2130001 2140000 23.0298 26.5868 -0.207208261933514 "PAR"
"SM_V7_ZW" 2140001 2150000 24.7524 25.4449 -0.0398081053365543 "PAR"
"SM_V7_ZW" 2150001 2160000 20.3634 26.8753 -0.400302396246674 "Z"
"SM_V7_ZW" 2160001 2170000 21.5775 26.6212 -0.303047883073882 "PAR"
"SM_V7_ZW" 2170001 2180000 27.1438 28.587 -0.0747365222611805 "PAR"
"SM_V7_ZW" 2180001 2190000 25.4255 25.3253 0.00569678629420543 "PAR"
"SM_V7_ZW" 2190001 2200000 23.0702 24.2892 -0.0742844624286376 "PAR"
"SM_V7_ZW" 2200001 2210000 23.6261 27.8821 -0.238957724088997 "PAR"
"SM_V7_ZW" 2210001 2220000 23.1276 23.1417 -0.000879287160437709 "PAR"
"SM_V7_ZW" 2220001 2230000 24.3639 25.2845 -0.0535081614082297 "PAR"
"SM_V7_ZW" 2230001 2240000 23.7953 25.3946 -0.0938451062589742 "PAR"
"SM_V7_ZW" 2240001 2250000 28.6759 29.2352 -0.0278676946444465 "PAR"
"SM_V7_ZW" 2250001 2260000 24.7052 26.9586 -0.125930842061129 "PAR"
"SM_V7_ZW" 2260001 2270000 21.9236 27.3924 -0.321290956279942 "PAR"
"SM_V7_ZW" 2270001 2280000 22.9133 24.447 -0.0934721843034675 "PAR"
"SM_V7_ZW" 2280001 2290000 22.1873 24.2186 -0.12638135497397 "PAR"
"SM_V7_ZW" 2290001 2300000 25.1208 24.4014 0.0419184862020762 "PAR"
"SM_V7_ZW" 2300001 2310000 23.2388 24.343 -0.0669714017895689 "PAR"
"SM_V7_ZW" 2310001 2320000 21.3656 23.5197 -0.138579826226734 "PAR"
"SM_V7_ZW" 2320001 2330000 22.6501 22.503 0.00940007181369734 "PAR"
"SM_V7_ZW" 2330001 2340000 27.1172 26.6853 0.023162989565504 "PAR"
"SM_V7_ZW" 2340001 2350000 25.3688 25.6654 -0.0167694670230376 "PAR"
"SM_V7_ZW" 2350001 2360000 26.0102 26.6617 -0.0356912796757745 "PAR"
"SM_V7_ZW" 2360001 2370000 20.6298 23.1357 -0.165390915357997 "PAR"
"SM_V7_ZW" 2370001 2380000 17.4828 27.8088 -0.669605229481089 "Z"
"SM_V7_ZW" 2380001 2390000 20.7295 24.9744 -0.268764699508832 "PAR"
"SM_V7_ZW" 2390001 2400000 25.1517 29.9169 -0.250304775499275 "PAR"
"SM_V7_ZW" 2400001 2410000 26.7627 27.7859 -0.0541292986633816 "PAR"
"SM_V7_ZW" 2410001 2420000 23.8536 31.7118 -0.410812753789233 "Z"
"SM_V7_ZW" 2420001 2430000 25.1957 25.5728 -0.0214325932672807 "PAR"
"SM_V7_ZW" 2430001 2440000 27.9907 26.5319 0.0772195733099277 "PAR"
"SM_V7_ZW" 2440001 2450000 25.9218 26.2705 -0.0192777572950473 "PAR"
"SM_V7_ZW" 2450001 2460000 23.3243 20.872 0.160264934845146 "PAR"
"SM_V7_ZW" 2460001 2470000 30.0604 25.9141 0.214126917055561 "PAR"
"SM_V7_ZW" 2470001 2480000 29.4546 28.8551 0.0296666302049705 "PAR"
"SM_V7_ZW" 2480001 2490000 28.0678 29.694 -0.0812554605500671 "PAR"
"SM_V7_ZW" 2490001 2500000 30.0536 26.2895 0.19305111233049 "PAR"
"SM_V7_ZW" 2500001 2510000 28.0712 29.5224 -0.0727192707797144 "PAR"
"SM_V7_ZW" 2510001 2520000 28.3712 26.7046 0.0873388980223998 "PAR"
"SM_V7_ZW" 2520001 2530000 27.2688 26.9844 0.0151256046828539 "PAR"
"SM_V7_ZW" 2530001 2540000 30.4473 29.1294 0.063838313244153 "PAR"
"SM_V7_ZW" 2540001 2550000 31.8882 29.2686 0.123668924566201 "PAR"
"SM_V7_ZW" 2550001 2560000 28.7901 26.4854 0.12037550265739 "PAR"
"SM_V7_ZW" 2560001 2570000 29.1318 26.9252 0.113637784561127 "PAR"
"SM_V7_ZW" 2570001 2580000 29.2562 25.3961 0.204135430494753 "PAR"
"SM_V7_ZW" 2580001 2590000 25.4946 27.393 -0.103615571531442 "PAR"
"SM_V7_ZW" 2590001 2600000 27.4367 26.1638 0.0685348777122696 "PAR"
"SM_V7_ZW" 2600001 2610000 26.395 25.011 0.0777019249151163 "PAR"
"SM_V7_ZW" 2610001 2620000 27.3194 24.7898 0.140179166861773 "PAR"
"SM_V7_ZW" 2620001 2630000 26.0368 24.3465 0.09683775939028 "PAR"
"SM_V7_ZW" 2630001 2640000 25.9313 27.0273 -0.0597228614286801 "PAR"
"SM_V7_ZW" 2640001 2650000 22.8727 24.1383 -0.0776973960314176 "PAR"
"SM_V7_ZW" 2650001 2660000 29.336 24.7918 0.242809149564141 "PAR"
"SM_V7_ZW" 2660001 2670000 25.3555 15.9867 0.665426557886822 "PAR"
"SM_V7_ZW" 2670001 2680000 23.6725 22.1101 0.0985065237095666 "PAR"
"SM_V7_ZW" 2680001 2690000 24.5282 23.8173 0.042431491450874 "PAR"
"SM_V7_ZW" 2690001 2700000 25.4989 28.3057 -0.150657590112957 "PAR"
