Scaffold_ID	Window_start	Window_stop	ERR562990_Depth	ERR562989_Depth
SM_V7_4H028	20001	30000	11.0526	12.5399
SM_V7_6H011	1	10000	11.3562	11.1245
SM_V7_6H011	10001	20000	13.9842	13.765
SM_V7_6H011	20001	30000	12.6666	12.0081
SM_V7_6H011	30001	40000	11.616	11.4543
SM_V7_4H027	1	10000	11.0128	16.2386
SM_V7_4H027	10001	20000	14.2479	18.0497
SM_V7_4H027	20001	30000	11.3544	11.4669
SM_V7_6H012	1	10000	15.5249	10.1676
SM_V7_6H012	10001	20000	23.3269	16.6489
SM_V7_6H012	20001	30000	20.349	12.7999
SM_V7_6H012	30001	40000	17.4896	12.5997
SM_V7_ZWH030	1	10000	13.9519	3.6441
SM_V7_ZWH030	10001	20000	15.2777	5.7082
SM_V7_ZWH030	20001	30000	12.9424	7.1547
SM_V7_3H001	1	10000	11.2546	13.8703
SM_V7_3H001	10001	20000	9.0308	13.1982
SM_V7_3H001	20001	30000	13.7693	17.4713
SM_V7_3H001	30001	40000	1.5903	14.1934
SM_V7_3H001	40001	50000	3.9394	14.9744
SM_V7_3H001	50001	60000	0.2973	11.132
SM_V7_3H001	60001	70000	1.2389	13.1918
SM_V7_3H001	70001	80000	7.361	13.1433
SM_V7_3H001	80001	90000	10.3462	12.4542
SM_V7_3H001	85498	95497	12.2649	13.0158
SM_V7_3H002	1	10000	14.216	13.8216
SM_V7_3H002	10001	20000	15.2732	15.5112
SM_V7_3H002	20001	30000	12.3871	13.2317
SM_V7_3H002	30001	40000	13.9505	15.5145
SM_V7_3H002	37116	47115	13.5164	14.1269
SM_V7_3H003	1	10000	11.3391	11.4369
SM_V7_3H003	10001	20000	16.255	16.5707
SM_V7_3H003	20001	30000	13.5933	13.001
SM_V7_3H003	30001	40000	15.8223	15.5187
SM_V7_3H003	35847	45846	13.7737	13.8139
SM_V7_4H020	1	10000	12.9002	11.1424
SM_V7_4H020	10001	20000	14.0208	12.5177
SM_V7_4H020	20001	30000	11.8001	12.8131
SM_V7_4H020	26933	36932	15.5307	16.3921
SM_V7_3H004	1	10000	21.1197	23.2832
SM_V7_3H004	10001	20000	26.4415	26.309
SM_V7_3H004	20001	30000	26.4412	25.4068
SM_V7_3H004	30001	40000	23.2177	27.8127
SM_V7_2H010	1	10000	11.829	18.1325
SM_V7_2H010	10001	20000	8.2222	14.9783
SM_V7_2H010	20001	30000	2.2826	12.7092
SM_V7_2H010	30001	40000	6.5858	14.5405
SM_V7_2H010	40001	50000	4.7134	15.5224
SM_V7_2H010	45154	55153	5.19717	18.1729
SM_V7_2H011	1	10000	15.0973	17.8318
SM_V7_2H011	10001	20000	15.7445	14.9944
SM_V7_2H011	20001	30000	18.8948	15.8703
SM_V7_2H011	30001	40000	15.1451	12.9458
SM_V7_2H011	38624	48623	13.6914	18.2851
SM_V7_W011	1	10000	13.8062	0.3155
SM_V7_W011	10001	20000	16.9622	2.829
SM_V7_W011	20001	30000	6.4704	1.487
SM_V7_W011	30001	40000	22.0936	12.1567
SM_V7_W011	40001	50000	17.6458	3.2411
SM_V7_W011	50001	60000	13.5619	0.2504
SM_V7_W011	60001	70000	13.0408	1.3781
SM_V7_W011	69720	79719	12.4038	12.8475
SM_V7_W010	1	10000	104.196	0
SM_V7_W010	10001	20000	39.517	0
SM_V7_W010	20001	30000	16.9601	0
SM_V7_W010	30001	40000	7.2588	0
SM_V7_W010	40001	50000	6.3254	0
SM_V7_W010	50001	60000	9.0753	0
SM_V7_ZWH007	1	10000	16.9857	14.4233
SM_V7_ZWH007	10001	20000	20.382	15.0299
SM_V7_ZWH007	20001	30000	18.0594	15.4853
SM_V7_ZWH007	30001	40000	16.0656	10.9186
